序号,课程编码,课程名称,英文名称,课程属性,所属学科/专业,课时/学分,主讲教师,教师所属单位
609,14MGX046H,传统工艺与当代社会,Traditional Crafts & Modern Society,公共选修课,,40/1.0,杨丽凡,人文学院
610,14MGX048H,科幻小说与科学,Science Fiction and Modern,公共选修课,,40/1.0,苏湛,人文学院
611,14MGX052H,科学史英文文献选读,Readings in the History and Philosophy of Science,公共选修课,,40/1.0,孙小淳,人文学院
612,14MGX061H,科学技术与社会,Introduction to Science Technology and Society,公共选修课,,40/1.0,王聪,人文学院
613,14MGX062H,陶瓷的世界—贸易、文化和技术交流史,"World of Ceramics –History on Trade, Cultural and Technical Exchange",公共选修课,,40/1.0,黄荣光,人文学院
614,14MGX066H,电影视听叙事艺术中的社会和三观,"Die Kunst des Films:Gesellschaft,Kulturen und Wertvorstellungen im 		filmischen Erz&#228;hlen",公共选修课,,36/1.0,杨慧,其它
615,14MGX067H,逻辑与批判性思维,Logic and Critical Thinking,公共选修课,,40/1.0,范杰,人文学院
616,14MGX070H,全球史（上）,Global History,公共选修课,,40/1.0,苏湛,人文学院
617,14MGX072H,密码学史,A History of Cryptography,公共选修课,,40/1.0,赵振江,人文学院
618,14MGX073H,西方数学史,A History of Western Mathematics,公共选修课,,40/1.0,赵振江,人文学院
619,14MGX074H,化学史,History of Chemistry,公共选修课,,40/1.0,何涓,人文学院
620,14MGX075H,中外大学文化史,History and Culture of the University,公共选修课,,30/1.0,王勇忠,人文学院
621,14MGX076H,中国术数文化,Mysterious Culture in China,公共选修课,,40/1.0,汪前进,人文学院
622,14MGX077H,近现代物理学史,History of Moden Physics,公共选修课,,30/1.0,鲁大龙,研究生院本部
623,14MGX079H,中国古代的天文历法,Astronomy and Calendar in Ancient China,公共选修课,,30/1.0,王广超,人文学院
624,14MGX080H,科学的起源与科学革命,The Beginnings of Science and Scientific Revolution,公共选修课,,40/1.0,宁晓玉,人文学院
625,15DGB002H-L203,英语B-203班（怀）-高级听说,PhD English Program,公共必修课,,36/1.0,杨莉,外语系
626,15DGB002H-L204,英语B-204班（怀）-高级听说,PhD English Program,公共必修课,,36/1.0,杨莉,外语系
627,15DGB002H-L207,英语B-207班（怀）-高级听说,PhD English Program,公共必修课,,36/1.0,田禾,外语系
628,15DGB002H-L208,英语B-208班（怀）-高级听说,PhD English Program,公共必修课,,36/1.0,田禾,外语系
629,15DGB002H-L44,英语B-44班（怀）-高级听说,PhD English,公共必修课,,36/1.0,张红晖,外语系
630,15DGB002H-L49,英语B-49班（怀）-高级听说,PhD English,公共必修课,,36/1.0,张红晖,外语系
631,15DGB002H-S001,英语B-01班（怀）-高级口语,PhD English Program,公共必修课,,36/1.0,Carl James Hutchinson,其它
632,15DGB002H-S002,英语B-02班（怀）-高级口语,PhD English Program,公共必修课,,36/1.0,Carl James Hutchinson,其它
633,15DGB002H-S003,英语B-03班（怀）-高级口语,PhD English Program,公共必修课,,36/1.0,Carl James Hutchinson,其它
634,15DGB002H-S004,英语B-04班（怀）-高级口语,PhD English Program,公共必修课,,36/1.0,Carl James Hutchinson,其它
635,15DGB002H-S011,英语B-11班（怀）-高级口语,PhD English Program,公共必修课,,36/1.0,RAYMOND SERAPHIM PORTER,其它
636,15DGB002H-S012,英语B-12班（怀）-高级口语,PhD English Program,公共必修课,,36/1.0,RAYMOND SERAPHIM PORTER,其它
637,15DGB002H-S040,英语B-40班（怀）-高级口语,PhD English,公共必修课,,36/1.0,Lettice Wigby,外语系
638,"15DGB002H-S041	",英语B-41班（怀）-高级口语,PhD English,公共必修课,,36/1.0,Lettice Wigby,外语系
639,"15DGB002H-S042	",英语B-42班（怀）-高级口语,PhD English,公共必修课,,36/1.0,Lettice Wigby,外语系
640,15DGB002H-S043,英语B-43班（怀）-高级口语,PhD English,公共必修课,,36/1.0,Lettice Wigby,外语系
641,15DGB002H-S21,英语B-21班（怀）-高级口语,PhD English Program,公共必修课,,36/1.0,RAYMOND SERAPHIM PORTER,其它
642,15DGB002H-S210,英语B-210班（怀）-高级口语,PhD English Program,公共必修课,,36/1.0,Lauren David,其它
643,15DGB002H-S213,英语B-213班（怀）-高级口语,PhD English Program,公共必修课,,36/1.0,Tim Conboy,其它
644,15DGB002H-S214,英语B-214班（怀）-高级口语,PhD English Program,公共必修课,,36/1.0,Tim Conboy,其它
645,15DGB002H-S216,英语B-216班（怀）-高级口语,PhD English,公共必修课,,36/1.0,Tim Conboy,其它
646,15DGB002H-S22,英语B-22班（怀）-高级口语,PhD English Program,公共必修课,,36/1.0,RAYMOND SERAPHIM PORTER,其它
647,15DGB002H-S225,英语B-225班（怀）-高级口语,PhD English,公共必修课,,36/1.0,Daniel Elias Concepcion,其它
