序号,课程编码,课程名称,英文名称,课程属性,所属学科/专业,课时/学分,主讲教师,教师所属单位
782,15MGB001H-028,英语A-28班（怀）,MS English Program,公共必修课,,36/3.0,孙丽冰,外语系
783,15MGB001H-029,英语A-29班（怀）,MS English Program,公共必修课,,36/3.0,黄然,外语系
784,15MGB001H-030,英语A-30班（怀）,MS English Program,公共必修课,,36/3.0,黄然,外语系
785,15MGB001H-031,英语A-31班（怀）,MS English Program,公共必修课,,36/3.0,范嘉舜,外语系
786,15MGB001H-032,英语A-32班（怀）,MS English Program,公共必修课,,36/3.0,范嘉舜,外语系
787,15MGB001H-033,英语A-33班（怀）,MS English Program,公共必修课,,36/3.0,赵新,其它
788,15MGB001H-034,英语A-34班（怀）,MS English Program,公共必修课,,36/3.0,刘彬,外语系
789,15MGB001H-035,英语A-35班（怀）,MS English Program,公共必修课,,36/3.0,刘琦,外语系
790,15MGB001H-036,英语A-36班（怀）,MS English Program,公共必修课,,36/3.0,刘琦,外语系
791,15MGB001H-037,英语A-37班（怀）,MS English Program,公共必修课,,36/3.0,胡江波,外语系
792,15MGB001H-038,英语A-38班（怀）,MS English Program,公共必修课,,36/3.0,胡江波,外语系
793,15MGB001H-039,英语A-39班（怀）,MS English Program,公共必修课,,36/3.0,姜文东,外语系
794,15MGB001H-040,英语A-40班（怀）,MS English Program,公共必修课,,36/3.0,胡江波,外语系
795,15MGB001H-041,英语A-41班（怀）,MS English Program,公共必修课,,36/3.0,赵新,其它
796,15MGB001H-042,英语A-42班（怀）,MS English Program,公共必修课,,36/3.0,赵新,其它
797,15MGB001H-043,英语A-43班（怀）,MS English Program,公共必修课,,36/3.0,葛全顺,北京交通大学
798,15MGB001H-044,英语A-44班（怀）,MS English Program,公共必修课,,36/3.0,孙海洋,外语系
799,15MGB001H-045,英语A-45班（怀）,MS English Program,公共必修课,,36/3.0,李利军,外语系
800,15MGB001H-046,英语A-46班（怀）,MS English Program,公共必修课,,36/3.0,赵竹轩,外语系
801,15MGB001H-047,英语A-47班（怀）,MS English Program,公共必修课,,36/3.0,赵竹轩,外语系
802,15MGB001H-048,英语A-48班（怀）,MS English Program,公共必修课,,36/3.0,赵竹轩,外语系
803,15MGB001H-049,英语A-49班（怀）,MS English Program,公共必修课,,36/3.0,彭宇,外语系
804,15MGB001H-050,英语A-50班（怀）,MS English Program,公共必修课,,36/3.0,彭宇,外语系
805,15MGB001H-051,英语A-51班（怀）,MS English Program,公共必修课,,36/3.0,彭宇,外语系
806,15MGB001H-052,英语A-52班（怀）,MS English Program,公共必修课,,36/3.0,孙海洋,外语系
807,15MGB001H-053,英语A-53班（怀）,MS English Program,公共必修课,,36/3.0,孙海洋,外语系
808,15MGB001H-054,英语A-54班（怀）,MS English Program,公共必修课,,36/3.0,田禾,外语系
809,15MGB001H-055,英语A-55班（怀）,MS English Program,公共必修课,,36/3.0,田禾,外语系
810,15MGB001H-056,英语A-56班（怀）,MS English Program,公共必修课,,36/3.0,葛全顺,北京交通大学
811,15MGB001H-057,英语A-57班（怀）,MS English Program,公共必修课,,36/3.0,葛全顺,北京交通大学
812,15MGB001H-058,英语A-58班（怀）,MS English Program,公共必修课,,36/3.0,葛全顺,北京交通大学
813,15MGB001H-059,英语A-59班（怀）,MS English Program,公共必修课,,36/3.0,黄然,外语系
814,15MGB001H-060,英语A-60班（怀）,MS English Program,公共必修课,,36/3.0,刘琦,外语系
815,15MGB001H-061,英语A-61班（怀）,MS English Program,公共必修课,,36/3.0,刘琦,外语系
816,15MGB001H-062,英语A-62班（怀）,MS English Program,公共必修课,,36/3.0,孔飞,北京交通大学
817,15MGB001H-063,英语A-63班（怀）,MS English Program,公共必修课,,36/3.0,杜垚,外语系
818,15MGB001H-064,英语A-64班（怀）,MS English Program,公共必修课,,36/3.0,葛全顺,北京交通大学
819,15MGB001H-065,英语A-65班（怀）,MS English Program,公共必修课,,36/3.0,葛全顺,北京交通大学
820,15MGB001H-066,英语A-66班（怀）,MS English Program,公共必修课,,36/3.0,孔飞,北京交通大学
821,15MGB001H-067,英语A-67班（怀）,MS English Program,公共必修课,,36/3.0,苏衡,北京航空航天大学
822,15MGB001H-068,英语A-68班（怀）,MS English Program,公共必修课,,36/3.0,张继琴,其它
823,15MGB001H-069,英语A-69班（怀）,MS English Program,公共必修课,,36/3.0,张继琴,其它
824,15MGB001H-070,英语A-70班（怀）,MS English Program,公共必修课,,36/3.0,孔延红,其它
825,15MGB001H-071,英语A-71班（怀）,MS English Program,公共必修课,,36/3.0,孔延红,其它
826,15MGB001H-072,英语A-72班（怀）,MS English Program,公共必修课,,36/3.0,孔延红,其它
827,15MGB001H-101,英语A+01班（怀）,MS English Program,公共必修课,,36/3.0,陈玮,外语系
828,15MGB001H-102,英语A+02班（怀）,MS English Program,公共必修课,,36/3.0,陈玮,外语系
829,15MGB001H-103,英语A+03班（怀）,MS English Program,公共必修课,,36/3.0,崔雅琼,其它
830,15MGB001H-104,英语A+04班（怀）,MS English Program,公共必修课,,36/3.0,辛琦,外语系
831,15MGB001H-105,英语A+05班（怀）,MS English Program,公共必修课,,36/3.0,辛琦,外语系
832,15MGB001H-106,英语A+06班（怀）,MS English Program,公共必修课,,36/3.0,曹笃鑫,外语系
833,15MGB001H-107,英语A+07班（怀）,MS English Program,公共必修课,,36/3.0,钱玉彬,外语系
834,15MGB001H-108,英语A+08班（怀）,MS English Program,公共必修课,,36/3.0,辛琦,外语系
835,15MGB001H-109,英语A+09班（怀）,MS English Program,公共必修课,,36/3.0,辛琦,外语系
836,15MGB001H-110,英语A+10班（怀）,MS English Program,公共必修课,,36/3.0,崔雅琼,其它
837,15MGB001H-111,英语A+11班（怀）,MS English Program,公共必修课,,36/3.0,崔雅琼,其它
838,15MGB001H-112,英语A+12班（怀）,MS English Program,公共必修课,,36/3.0,钱玉彬,外语系
839,15MGB001H-113,英语A+13班（怀）,MS English Program,公共必修课,,36/3.0,钱玉彬,外语系
840,15MGB001H-114,英语A+14班（怀）,MS English Program,公共必修课,,36/3.0,于华,外语系
841,15MGB001H-115,英语A+15班（怀）,MS English Program,公共必修课,,36/3.0,陈念宁,外语系
842,15MGB001H-116,英语A+16班（怀）,MS English Program,公共必修课,,36/3.0,陈念宁,外语系
843,15MGB001H-117,英语A+17班（怀）,MS English Program,公共必修课,,36/3.0,崔雅琼,其它
844,15MGB001H-118,英语A+18班（怀）,MS English Program,公共必修课,,36/3.0,陈念宁,外语系
845,15MGB001H-119,英语A+19班（怀）,MS English Program,公共必修课,,36/3.0,陈念宁,外语系
846,15MGB001H-120,英语A+20班（怀）,MS English Program,公共必修课,,36/3.0,曹笃鑫,外语系
847,15MGB001H-121,英语A+21班（怀）,MS English Program,公共必修课,,36/3.0,于华,外语系
848,15MGB001H-122,英语A+22班（怀）,MS English Program,公共必修课,,36/3.0,路露,外语系
849,15MGB001H-123,英语A+23班（怀）,MS English Program,公共必修课,,36/3.0,路露,外语系
850,15MGB001H-125,英语A+25班（怀）,MS English Program,公共必修课,,36/3.0,于华,外语系
851,15MGB001H-126,英语A+26班（怀）,MS English Program,公共必修课,,36/3.0,于华,外语系
852,15MGB001H-127,英语A+27班（怀）,MS English Program,公共必修课,,36/3.0,曹笃鑫,外语系
853,15MGB001H-128,英语A+28班（怀）,MS English Program,公共必修课,,36/3.0,曹笃鑫,外语系
854,15MGB001H-129,英语A+29班（怀）,MS English Program,公共必修课,,36/3.0,陈玮,外语系
855,15MGB001H-130,英语A+30班（怀）,MS English Program,公共必修课,,36/3.0,陈玮,外语系
856,15MGB001H-131,英语A+31班（怀）,MS English Program,公共必修课,,36/3.0,刘云龙,外语系
857,15MGB001H-132,英语A+32班（怀）,MS English Program,公共必修课,,36/3.0,刘云龙,外语系
858,15MGB001H-133,英语A+33班（怀）,MS English Program,公共必修课,,36/3.0,路露,外语系
859,15MGB001H-134,英语A+34班（怀）,MS English Program,公共必修课,,36/3.0,路露,外语系
860,15MGB001H-135,英语A+35班（怀）,MS English Program,公共必修课,,36/3.0,刘云龙,外语系
861,15MGB001H-136,英语A+36班（怀）,MS English Program,公共必修课,,36/3.0,刘云龙,外语系
862,15MGB001Y-001,硕士学位英语,MS English Program,公共必修课,,36/3.0,刘彬,外语系
863,15MGX001H-01,口译技能训练,Interpretation Skills,公共选修课,,32/1.0,彭宇,外语系
864,15MGX001H-02,口译技能训练,Interpretation Skills,公共选修课,,32/1.0,彭宇,外语系
865,15MGX004H-01,基础学术论文写作,Academic Writing in English - Basic Course,公共选修课,,32/1.0,Torsten Jülich,其它
866,15MGX004H-02,基础学术论文写作,Academic Writing in English - Basic Course,公共选修课,,32/1.0,Torsten Jülich,其它
867,15MGX005H-01,国际交流英语听说,English Listening Course for International Communication,公共选修课,,32/1.0,彭工,外语系
868,15MGX005H-02,国际交流英语听说,English Listening Course for International Communication,公共选修课,,32/1.0,彭工,外语系
869,15MGX008H-01,英美报刊选读,Selected Readings in English Print News Media,公共选修课,,32/1.0,于少蔚,外语系
870,15MGX008H-02,英美报刊选读,Selected Readings in English Print News Media,公共选修课,,32/1.0,于少蔚,外语系
871,15MGX009H-02,汉英翻译,Chinese-English Translation Techniques,公共选修课,,32/1.0,于少蔚,外语系
872,15MGX012H,德语（二外）,German,公共选修课,,90/2.0,沈永前,外语系
873,15MGX013H-01,日语（二外）（初级）,Japanese,公共选修课,,64/2.0,马潇漪,外语系
874,15MGX013H-02,日语（二外）（初级）,Japanese,公共选修课,,64/2.0,马潇漪,外语系
875,15MGX016H,法语（中级）,French for Advanced Learners,公共选修课,,64/2.0,张旭,外语系
876,15MGX018H,美国文化面面观,Multiple Aspects of American Culture,公共选修课,,16/0.5,Hawkeye,研究生院本部
877,15MGX021H-01,科技论文写作,Scientific Paper Writing,公共选修课,,32/1.0,高原,外语系
878,181M1001H,现代组织胚胎学及其技术应用,Current Histology and Embryology and Technologies,一级学科核心课,基础医学,60/4.0,"彭景楩,李磊",动物研究所
879,181M1002H,医学实验动物学与疾病模型,Medical Laboratory Animal Sciences and Disease Models,一级学科核心课,基础医学,60/4.0,"史桂芝,田勇",生物物理研究所
880,181M1003H,高级生物化学,Advanced Biochemistry,一级学科核心课,基础医学,50/3.5,钟良玮,生命科学学院
881,181M1004H,生理学,Physiology,一级学科核心课,基础医学,50/3.5,"周光飚,唐铁山",动物研究所
882,181M1005H,医学细胞生物学,Medical Cell Biology,一级学科核心课,,50/3.5,"陈佺,杨建虹",动物研究所
883,181M1006H,感染免疫学,Immunology of Infectious Diseases,一级学科核心课,基础医学,60/4.0,"孙钦秒,周旭宇",微生物研究所
884,181M1007H,蛋白质组学,Proteomics,一级学科核心课,,50/3.5,"汪迎春,徐平",其它
885,181M1008H,医学微生物学及进展,Medical microbiology: basics and research progress,一级学科核心课,基础医学,50/3.5,"李少杰,刘翠华",微生物研究所
886,181M1011H,生物医学大数据,Big data in biomedicine,一级学科核心课,基础医学,60/4.0,"方向东,雷红星",北京基因组研究所
887,181M1012H,现代生殖医学之生理基础,Modern Reproductive Medicine-Basic Physiology,一级学科核心课,基础医学,50/3.5,"王红梅,彭景楩",动物研究所
888,181M1013H,现代生殖医学之病理概论,Modern Reproductive Medicine – Introduction to Pathology,一级学科核心课,基础医学,50/3.5,"王雁玲,高飞",动物研究所
889,181M1015H,人类遗传疾病,Human Genetic Disease,一级学科核心课,基础医学,50/3.5,"王强,赵建国",动物研究所
890,181M2002H,微生物组与微生物基因组学,Microbiome and Microbial Genome,一级学科普及课,基础医学,30/2.5,"朱宝利,杜文斌",微生物研究所
891,181M2003H,精准医学概论,Introduction to Precision Medicine,一级学科普及课,基础医学,40/3.0,"曾长青,王拥军",遗传与发育生物学研究所
892,181M2004H,人群队列大数据研究基础与R实战,Introduction to Large Data Analysis in Cohort Studies Using R,一级学科普及课,,30/2.5,"张治华,刘凡",北京基因组研究所
893,181M2005H,病毒病与监控,Viral Disease and Intervention,一级学科普及课,基础医学,30/2.5,"胡志红,罗敏华",武汉病毒研究所
894,181M2010H,遗传咨询与未来医疗,Genetic Counseling and Future Healthcare,一级学科普及课,,30/2.5,"蔡军,米双利",北京基因组研究所
895,181M2013H,医学科研中的统计学方法,Statistical Method in Medical Sciences,一级学科普及课,基础医学,50/3.0,"郭秀花,高琦",其它
896,182M1001H,药物设计方法学,Methodology of Drug Design,一级学科核心课,药学,50/3.5,"李中军,李学兵",微生物研究所
897,182M1002H,天然药物研究方法学导论,Natural Products Chemistry,一级学科核心课,药学,50/3.5,"马晓丰,刘宏伟",微生物研究所
898,183M1001H,干细胞生物学,Stem Cell Biology,一级学科核心课,生物医学工程,60/4.0,"刘峰,周琪",动物研究所
899,183M1002H,再生医学导论,Introductory Course toRegenerative Medicine,一级学科核心课,生物医学工程,50/3.5,"刘光慧,胡宝洋",动物研究所
900,183M2001H,医学发育生物学,Medical Developmental Biology,一级学科普及课,生物医学工程,30/2.5,"王强,曲静",动物研究所
901,183M2003H,医学材料学,Materials for Medical Applications,一级学科普及课,生物医学工程,40/3.0,"刘瑞刚,邱东",化学研究所
902,191M4002H,光纤通信技术,Optical Fiber Communication Technologies,专业核心课,,50/3.0,刘建国,半导体研究所
903,191M4003H,高等数字集成电路分析及设计,Analysis and Design of Advanced Digital Integrated Circuits,专业核心课,集成电路工程,50/3.0,"王志君,梁利平",微电子研究所
904,191M6003H,数据挖掘技术与应用,Data Mining Techniques and Applications,专业研讨课,,30/2.0,陈曙东,微电子研究所
905,192M5002H,半导体材料与器件的分析与表征,Methods and Instruments of Analysis,专业普及课,,40/2.0,Henry Homayoun Radamson,微电子研究所
906,192M5003H,半导体存储器技术,Semiconductor memory technology,专业普及课,,30/2.0,吕杭炳,微电子研究所
907,192M6001H,TCAD仿真技术,TCAD Simulation,专业研讨课,,21/1.0,毕津顺,微电子研究所
908,201M4001H,密码学的数学基础,Mathematics of Cryptography,专业核心课,网络空间安全,60/3.0,"李永强,王明生",信息工程研究所
909,201M4002H,应用密码学,Applied Cryptography,专业核心课,网络空间安全,60/3.0,林东岱,信息工程研究所
910,201M4004H-01,机器学习,Machine Learning,专业核心课,网络空间安全,60/3.0,周晓飞,信息工程研究所
911,201M4004H-02,机器学习,Machine Learning,专业核心课,网络空间安全,60/3.0,周晓飞,信息工程研究所
912,201M4005H,自然语言处理,Natural Language Processing,专业核心课,网络空间安全,60/3.0,"胡玥,王厚峰",信息工程研究所
913,201M4008H,网络认证技术,Network Authentication,专业核心课,网络空间安全,60/3.0,"林璟锵,王琼霄",信息工程研究所
914,201M4009H,无线安全,The Security of Wireless Communications,专业核心课,网络空间安全,60/3.0,"孙德刚,王竹",信息工程研究所
915,201M4010H,网络与系统安全,Network and System Security,专业核心课,网络空间安全,60/3.0,"王跃武,荆继武",信息工程研究所
916,201M4011H,安全协议与形式化方法,Security protocols and Formal methods,专业核心课,网络空间安全,60/3.0,姬东耀,信息工程研究所
917,201M4012H,软件安全原理,Software Security and Vulnerability Analysis,专业核心课,网络空间安全,60/3.0,"贾晓启,邹维",信息工程研究所
918,201M4014H,信息安全数学基础,Math Foundation of Information Security,专业核心课,网络空间安全,60/3.0,"胡磊,王丽萍",信息工程研究所
919,201M5001H,理论密码学,Theoretical Cryptography,专业普及课,网络空间安全,40/2.0,"薛锐,陈宇",信息工程研究所
920,201M5003H,信息隐藏,Information Hiding,专业普及课,网络空间安全,40/2.0,赵险峰,信息工程研究所
921,201M5006H,密码分析学,Cryptanalysis,专业普及课,网络空间安全,40/2.0,"孙思维,叶顶锋",信息工程研究所
922,201M5011H,安全性归约证明-基础与方法,Reduction-Based Security Proofs: Foundation and Methods,专业普及课,网络空间安全,40/2.0,"李红达,徐海霞",信息工程研究所
923,201M5013H,保密技术,Secrecy Technology,专业普及课,网络空间安全,40/2.0,"李梅梅,姜建国",信息工程研究所
924,201M5017H,网络溯源取证,Cyber Attacks Attribution and Forensics,专业普及课,网络空间安全,40/2.0,"刘宝旭,杨泽明",信息工程研究所
925,201M5019H,Web安全技术,Web Security,专业普及课,网络空间安全,40/2.0,"刘奇旭,刘潮歌",信息工程研究所
926,201M5020H,恶意软件发现与分析,Malware Detection and Analysis,专业普及课,网络空间安全,40/2.0,"刘剑,赵双",信息工程研究所
927,201M5021H,区块链技术及应用,Blockchain and its Applications,专业普及课,网络空间安全,40/2.0,"徐海霞,王鲲鹏",信息工程研究所
928,201M5022H,信息论与编码,Information Theory and Coding,专业普及课,网络空间安全,40/2.0,"吕克伟,王丽萍",信息工程研究所
929,201M5025H,域名安全技术,DNS Security,专业普及课,网络空间安全,40/2.0,"张永铮,臧天宁",信息工程研究所
930,201M5026H,数据科学导论,The Introduction of Data Science,专业普及课,网络空间安全,40/2.0,"沙灜,周川",信息工程研究所
931,201M6006H,系统结构安全可信计算新思路,System Secure Architecture: The Trend of R&D on Trustworthy Execution,专业研讨课,网络空间安全,20/1.0,王跃武,信息工程研究所
932,201M6009H,密码学中的量子计算基础,Quantum Computation in Cryptology,专业研讨课,网络空间安全,20/1.0,黄震宇,信息工程研究所
933,201M6012H,云计算安全,Cloud Security,专业研讨课,网络空间安全,20/1.0,陈驰,信息工程研究所
934,201M6013H,互联网内容分发与安全,Internet Content Distribution and Security,专业研讨课,网络空间安全,20/1.0,李杨,信息工程研究所
935,201M6015H-01,基于大数据的软件安全,Big Data Analysis for Software Security,专业研讨课,网络空间安全,20/1.0,陈恺,信息工程研究所
936,201M6015H-02,基于大数据的软件安全,Big Data Analysis for Software Security,一级学科研讨课,密码学与信息对抗,20/1.0,陈恺,信息工程研究所
937,201M6022H-01,漏洞利用与攻防实践,Vulnerability Exploiting Techniques and Practice,专业研讨课,网络空间安全,20/1.0,霍玮,信息工程研究所
938,201M6022H-02,漏洞利用与攻防实践,Vulnerability Exploiting Techniques and Practice,专业研讨课,网络空间安全,20/1.0,霍玮,信息工程研究所
939,201M6025H,机器学习在网络安全中的应用,Machine Learning Approaches in Network Security,专业研讨课,网络空间安全,20/1.0,张棪,信息工程研究所
940,211M5002H,液态金属微流体学,Microfluidics of Liquid Metal,专业普及课,液态金属物质科学与技术,30/1.5,桂林,理化技术研究所
941,212M5002H,肿瘤精准治疗的临床实践与未来技术,Clinical practice and future technology of precision cancer treatment,专业普及课,基因组健康技术,20/1.0,"江倩,王前飞",北京基因组研究所
942,212M5003H,基因组技术与健康大数据,Genomic Technology and Health Database,专业普及课,基因组健康技术,30/1.5,"柯玉文,刘江",北京基因组研究所
943,212M5004H,生物信息大数据挖掘分析和实践,"Bioinformatics Big Data: Analysis, Mining and Practice",专业普及课,基因组健康技术,30/1.5,"鲍一明,赵文明",北京基因组研究所
944,213M5002H,生物医学电子电路、器件及系统前沿,"Frontier of Biomedical Electronic Circuits, Devices and Micriosystems",专业普及课,生物芯片技术,32/1.5,"刘昱,黄成军",微电子研究所
945,214M5001H,光子集成芯片：理论与器件,Photonic Integrated Circuits：Theory and Devices,专业普及课,光子与量子芯片技术,30/1.5,"王国玺,张文富",西安光学精密机械研究所
946,214M5002H,微/纳米激光技术,Micro/Nano Laser Technology,专业普及课,光子与量子芯片技术,30/1.5,"王宇飞,郑婉华",半导体研究所
947,215M5001H,仿生智能纳米材料,Bioinspired Intelligent Nanostructured  Materials,专业普及课,仿生智能材料科学与技术,64/4.0,"王京霞,王树涛",理化技术研究所
948,216M5001H,类脑智能导论,Introduction to Brain-inspired Intelligence,专业普及课,脑科学与智能技术,30/1.5,"曾毅,余山",自动化研究所
949,216M5002H,神经科学导论,Fundamentals of Neuroscience,专业普及课,脑科学与智能技术,36/1.5,"罗振革,杜久林",上海生命科学研究院
950,216M5003H,系统神经科学,Systems neuroscience,专业普及课,脑科学与智能技术,33/1.5,"顾勇,李澄宇",中国科学院脑科学与智能技术卓越创新中心（神经科学研究所）
951,217M5001H,人工光合作用与太阳能转换,Artificial Photosynthesis and Solar Energy Conversion,专业普及课,光物质科学与能源技术,34/1.5,"陈勇,吴骊珠",理化技术研究所
952,217M5002H,光谱及显微成像基础与前沿,Fundamentals and Advances of Spectroscopy and Microscopy,专业普及课,光物质科学与能源技术,30/1.5,"王雪松,只金芳",理化技术研究所
953,22MGX003H,智慧物流,Smart Logistics,公共选修课,,40/1.0,兰舒琳,研究生院本部
954,23DGB002H-01,中国马克思主义与当代,Marxism and the Present World,公共必修课,,36/2.0,贺新元,其它
955,23DGB002H-02,中国马克思主义与当代,Marxism and the Present World,公共必修课,,36/2.0,贺新元,其它
956,23DGB002H-03,中国马克思主义与当代,Marxism and the Present World,公共必修课,,36/2.0,刘志明,其它
957,23DGB002H-04,中国马克思主义与当代,Marxism and the Present World,公共必修课,,36/2.0,贺新元,其它
958,23DGB002H-05,中国马克思主义与当代,Marxism and the Present World,公共必修课,,36/2.0,陈志刚,其它
959,23DGB002H-06,中国马克思主义与当代,Marxism and the Present World,公共必修课,,36/2.0,陈志刚,其它
960,23DGB002H-07,中国马克思主义与当代,Marxism and the Present World,公共必修课,,36/2.0,刘志明,其它
961,23DGB002H-08,中国马克思主义与当代,Marxism and the Present World,公共必修课,,36/2.0,陈志刚,其它
962,23DGB002H-09,中国马克思主义与当代,Marxism and the Present World,公共必修课,,36/2.0,刘志明,其它
963,23DGB002H-10,中国马克思主义与当代,Marxism and the Present World,公共必修课,,36/2.0,贺新元,其它
964,23DGB002H-11,中国马克思主义与当代,Marxism and the Present World,公共必修课,,36/2.0,贺新元,其它
965,23DGB002H-12,中国马克思主义与当代,Marxism and the Present World,公共必修课,,36/2.0,贺新元,其它
966,23DGB002H-13,中国马克思主义与当代,Marxism and the Present World,公共必修课,,36/2.0,陈志刚,其它
967,23DGB002H-14,中国马克思主义与当代,Marxism and the Present World,公共必修课,,36/2.0,戴立兴,其它
968,23DGB002H-15,中国马克思主义与当代,Marxism and the Present World,公共必修课,,36/2.0,贺新元,其它
969,23DGB002Z-01,中国马克思主义与当代,Marxism and the Present World,公共必修课,,36/2.0,戴立兴,其它
970,23DGB002Z-02,中国马克思主义与当代,Marxism and the Present World,公共必修课,,36/2.0,戴立兴,其它
971,23DGB002Z-03,中国马克思主义与当代,Marxism and the Present World,公共必修课,,36/2.0,戴立兴,其它
972,23MGB001H-01,中国特色社会主义理论与实践研究,The Study of Theory and Practice of Socialism with Chinese Characteristics,公共必修课,,36/2.0,张士义,其它
973,23MGB001H-02,中国特色社会主义理论与实践研究,The Study of Theory and Practice of Socialism with Chinese Characteristics,公共必修课,,36/2.0,陈坚,其它
974,23MGB001H-03,中国特色社会主义理论与实践研究,The Study of Theory and Practice of Socialism with Chinese Characteristics,公共必修课,,36/2.0,薛庆超,其它
975,23MGB001H-04,中国特色社会主义理论与实践研究,The Study of Theory and Practice of Socialism with Chinese Characteristics,公共必修课,,36/2.0,陈坚,其它
976,23MGB001H-05,中国特色社会主义理论与实践研究,The Study of Theory and Practice of Socialism with Chinese Characteristics,公共必修课,,36/2.0,薛庆超,其它
977,23MGB001H-06,中国特色社会主义理论与实践研究,The Study of Theory and Practice of Socialism with Chinese Characteristics,公共必修课,,36/2.0,张士义,其它
978,23MGB001H-07,中国特色社会主义理论与实践研究,The Study of Theory and Practice of Socialism with Chinese Characteristics,公共必修课,,36/2.0,薛庆超,其它
979,23MGB001H-08,中国特色社会主义理论与实践研究,The Study of Theory and Practice of Socialism with Chinese Characteristics,公共必修课,,36/2.0,薛庆超,其它
980,23MGB001H-09,中国特色社会主义理论与实践研究,The Study of Theory and Practice of Socialism with Chinese Characteristics,公共必修课,,36/2.0,陈坚,其它
981,23MGB001H-10,中国特色社会主义理论与实践研究,The Study of Theory and Practice of Socialism with Chinese Characteristics,公共必修课,,36/2.0,张士义,其它
982,23MGB001H-11,中国特色社会主义理论与实践研究,The Study of Theory and Practice of Socialism with Chinese Characteristics,公共必修课,,36/2.0,陈坚,其它
983,23MGB001H-12,中国特色社会主义理论与实践研究,The Study of Theory and Practice of Socialism with Chinese Characteristics,公共必修课,,36/2.0,薛庆超,其它
984,23MGB001H-13,中国特色社会主义理论与实践研究,The Study of Theory and Practice of Socialism with Chinese Characteristics,公共必修课,,36/2.0,陈坚,其它
985,23MGB001H-14,中国特色社会主义理论与实践研究,The Study of Theory and Practice of Socialism with Chinese Characteristics,公共必修课,,36/2.0,陈坚,其它
986,23MGB001H-15,中国特色社会主义理论与实践研究,The Study of Theory and Practice of Socialism with Chinese Characteristics,公共必修课,,36/2.0,张士义,其它
987,23MGB001H-16,中国特色社会主义理论与实践研究,The Study of Theory and Practice of Socialism with Chinese Characteristics,公共必修课,,36/2.0,薛庆超,其它
988,23MGB001H-17,中国特色社会主义理论与实践研究,The Study of Theory and Practice of Socialism with Chinese Characteristics,公共必修课,,36/2.0,张士义,其它
989,23MGB001H-18,中国特色社会主义理论与实践研究,The Study of Theory and Practice of Socialism with Chinese Characteristics,公共必修课,,36/2.0,陈坚,其它
990,23MGB001H-19,中国特色社会主义理论与实践研究,The Study of Theory and Practice of Socialism with Chinese Characteristics,公共必修课,,36/2.0,张士义,其它
991,23MGB001H-20,中国特色社会主义理论与实践研究,The Study of Theory and Practice of Socialism with Chinese Characteristics,公共必修课,,36/2.0,薛庆超,其它
992,23MGB001H-21,中国特色社会主义理论与实践研究,The Study of Theory and Practice of Socialism with Chinese Characteristics,公共必修课,,36/2.0,薛庆超,其它
993,23MGB001H-22,中国特色社会主义理论与实践研究,The Study of Theory and Practice of Socialism with Chinese Characteristics,公共必修课,,36/2.0,张士义,其它
994,23MGB001H-23,中国特色社会主义理论与实践研究,The Study of Theory and Practice of Socialism with Chinese Characteristics,公共必修课,,36/2.0,薛庆超,其它
995,23MGB001H-24,中国特色社会主义理论与实践研究,The Study of Theory and Practice of Socialism with Chinese Characteristics,公共必修课,,36/2.0,薛庆超,其它
996,23MGB001H-25,中国特色社会主义理论与实践研究,The Study of Theory and Practice of Socialism with Chinese Characteristics,公共必修课,,36/2.0,陈坚,其它
997,23MGB001H-26,中国特色社会主义理论与实践研究,The Study of Theory and Practice of Socialism with Chinese Characteristics,公共必修课,,36/2.0,张士义,其它
998,23MGB001H-27,中国特色社会主义理论与实践研究,The Study of Theory and Practice of Socialism with Chinese Characteristics,公共必修课,,36/2.0,陈坚,其它
999,23MGB001Y,中国特色社会主义理论与实践研究,The Study of Theory and Practice of Socialism with Chinese Characteristics,公共必修课,,36/2.0,景庆虹,其它
1000,23MGX005H,科学与人文,Science and Humanities,公共选修课,,40/1.0,孟建伟,人文学院
1001,23MGX007H,中国历史文化概论,Introduction to History and Civilization in china,公共选修课,,40/1.0,曹志红,人文学院
1002,23MGX010H,中国古代制度史概要,The Historical Overview of Ancient Institutions of China,公共选修课,,40/1.0,王佩琼,研究生院本部
1003,241M1001H,心理学研究方法,Research Method of Psychology,一级学科核心课,心理学,60/3.0,"刘烨,毕鸿燕",心理研究所
1004,241M2001H,心理测量与评估,Psychological Assessment,一级学科普及课,心理学,40/2.0,陈天勇,心理研究所
1005,241M4001H,认知心理学,Cognitive Psychology,专业核心课,基础心理学,60/3.0,"李雪冰,蒋毅",心理研究所
1006,241M4002H,发展与教育心理学,Developmental and Educational Psychology,专业核心课,发展与教育心理学,60/3.0,李甦,心理研究所
1007,241M4003H,应用心理学高级课程,Advanced Topics in Applied Psychology,专业核心课,应用心理学,60/3.0,朱廷劭,心理研究所
1008,241M4004H,生理心理学,Physiological Psychology,专业核心课,健康心理学,60/3.0,"王玮文,王亮",心理研究所
1009,241M4005H,功能神经解剖,Functional Neuroanatomy,专业核心课,认知神经科学,60/3.0,"王锦琰,梁璟",心理研究所
1010,241M5008H,脑病理生理学导论,Introduction of Neuropathophysiology,专业普及课,健康心理学,40/2.0,赫荣乔,生物物理研究所
1011,24MGX001H,中国文化与心理健康要素,Chinese Civilization and Essentials in Mental Health,公共选修课,,30/1.0,罗非,心理研究所
